Column1,Column2
"ailment
[ail·ment || 'eɪlmənt]
n. "," dor; indisposição
 小病；不安"
"aim
[eɪm]
n. aim of"," alvo; mira; objetivo
v. mirar; apontar; dirigir
AIM (Air Intercept Missile) 1
[eɪm]
míssil interceptador aéreo AIM (American Indian Movement) 2
[eɪm]
Movimento Indígena Americano, organização fundada para proteger os direitos e interesses dos índios norte-americanos AIM (AOL Instant Messenger) 3
[eɪm]
software produzido pela America Online que capacita um usuário a mandar mensagens instantâneas para outros usuários
 目的在于；引导；把…对准"
"air
[eə]
n. in the air"," ar; atmosfera; aspecto; aparência
v. ventilar, arejar; expor, expressar publicamente; transmitir (na rádio ou televisão)
adj. aéreo; ventilado, aerado; cedo (escocês)
 空气，大气；天空；样子；曲调"
"airline
n. airline ticket"," companhia de aviação
 航空公司；航线"
"airmail
n. airmail letter"," correio aéreo
v. enviar por correio aéreo
 航空邮件"
"airport
n. international airport"," aeroporto
 机场；航空站"
"amount
[a·mount || ə'maʊnt]
n. large amount"," quantia; soma
v. subir; atingir
 总计，合计；相当于；共计；产生…结果"
"amuse
[a·muse || ə'mjuːz]
v. amuse oneself"," divertir; distrair; entreter
 娱乐；消遣；使发笑；使愉快"
"amusement
[a'muse·ment || -mənt]
n. amusement park"," divertimento; distração; entretenimento
 消遣，娱乐；乐趣"
 white dwarf, reduce 变矮小
"apologize
[a·pol·o·gize || ə'pɒlədʒaɪz]
v. apologize for"," desculpar-se (pedir desculpa)
 道歉；辩解；赔不是"
"apology
[a·pol·ogy || ə'pɒlədʒɪ]
n. an apology for something"," desculpa; defesa; justificação
 道歉；谢罪；辩护；勉强的替代物"
"appeal
[ap·peal || ə'piːl]
n. appeal for"," apelo; recurso; atração
v. apelar; recorrer; clamar
 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
"appear
[ap·pear || ə'pɪə]
v. appear in"," aparecer; mostrar-se
 出现；显得；似乎；出庭；登场"
"appearance
[ap·pear·ance || ə'pɪərəns]
n. in appearance"," aparência; aspecto
 外貌，外观；出现，露面"
"appendix
[ap·pen·dix || ə'pendɪks]
n. vermiform appendix"," apêndice; aditação
 附录；阑尾；附加物"
"appetite
[ap·pe·tite || 'æpɪtaɪt]
n. appetite for"," apetite; desejo
 食欲；嗜好"
"applicant
[ap·pli·cant || 'æplɪkənt]
n. job applicant"," candidato; peticionário, requerente
 申请人，申请者；请求者"
"application
[ap·pli·ca·tion || ‚æplɪ'keɪʃn]
n. practical application"," apelo, pedido; aplicação, aplicativo (também em informática), programa usado para executar uma tarefa específica (informática); perseverança
 应用；申请；应用程序；敷用"
"apply
[ap·ply || ə'plaɪ]
v. apply oneself"," aplicar; adotar; referir-se; solicitar
 申请；涂，敷；应用"
"appoint
[ap·point || ə'pɔɪnt]
v. "," apontar; fixar; marcar; nomear
 任命；指定；约定"
"appointee
[ap·point·ee || əpɔɪn'tiː]
n. "," apontado, nomeado
 被任命者"
"appointment
[ap'point·ment || -mənt]
n. make an appointment"," nomeação; indicação; convênio; encontro marcado
 任命；约定；任命的职位"
"appraisal
[ap·prais·al || ə'preɪzl]
n. performance appraisal"," avaliação, estimação, apreciação
 评价；估价（尤指估价财产，以便征税）；估计"
"appraise
[ap·praise || ə'preɪz]
v. "," apreciar; avaliar
 评价，鉴定；估价"
"appraiser
[ap'prais·er || -zə]
n. "," avaliador profissional, conferente de alfândega
 鉴定人，评价人；估价官"
"appreciate
[ap·pre·ci·ate || ə'priːʃɪeɪt]
v. "," apreciar; estimar; avaliar
 欣赏；感激；领会；鉴别"
"apprehend
[ap·pre·hend || ‚æprɪ'hend]
v. "," apreender; compreender; tomar; agarrar
 理解；逮捕；忧虑"
"apprehension
[,ap·pre'hen·sion || ‚æprɪ'henʃn]
n. "," apreensão; compreensão; noção; cuidado
 理解；恐惧；逮捕；忧惧"
"approach
[ap·proach || ə'prəʊtʃ]
n. new approach"," aproximação; acesso; abordagem
v. aproximar-se
 方法；途径；接近"
"appropriate
[ap·pro·pri·ate || ə'prəʊprɪət]
v. as appropriate"," apropriar-se de algo; destinar (verbas), elaborar orçamento; tomar posse
adj. apropriado; apto; conveniente; oportuno
 适当的；恰当的；合适的"
"approval
[ap'prov·al || -vl]
n. approval of"," aprovação; adesão; acordo
 批准；认可；赞成"
"approve
[ap·prove || ə'pruːv]
v. approve oneself"," aprovar; consentir; reconhecer
 批准；赞成；为…提供证据"
"approximately
[ap'prox·i·mate·ly || -lɪ]
adv. approximately equal"," aproximadamente
 大约，近似地；近于"
"approximation
[ap·prox·i·ma·tion || ə‚prɒksɪ'meɪʃn]
n. approximation method"," aproximação; apreciação
 [数] 近似法；接近；[数] 近似值"
"aptitude
[ap·ti·tude || 'æptɪtjuːd]
n. aptitude test"," aptidão; tendência; capacidade
 天资；自然倾向；适宜"
"ascertain
[as·cer·tain || ‚æsə'teɪn]
v. "," certificar, verificar, averiguar, apurar
 确定；查明；探知"
 on a regular basis, estável 定期的；有规律的；合格的；整齐的；普通的
"assurance
[as·sur·ance || ə'ʃʊərəns]
n. quality assurance"," garantia, promessa, segurança
 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻"
"astonish
[as·ton·ish || ə'stɒnɪʃ]
v. "," surpreender
 使惊讶"
"autumn
[au·tumn || 'ɔːtəm]
n. in autumn"," outono
 秋天；成熟期；渐衰期，凋落期"
"availability
[a·vail·a·bil·i·ty || ə‚veɪlə'bɪlətɪ]
n. water availability"," disponibilidade; utilidade
 可用性；有效性；实用性"
"available
[a'vail·a·ble || -ləbl]
adj. available for"," disponível; livre; eficaz; vantajoso
 可获得的；可购得的；可找到的；有空的"
 chat with, conversation 聊天；闲谈
 electronic mailbox, private box for receiving incoming mail 邮箱；邮筒
"century
[cen·tu·ry || 'sentʃʊrɪ]
n. the twentieth century"," século, centúria
 世纪，百年；（板球）一百分"
"certain
[cer·tain || 'sɜːtn]
adj. a certain extent"," certo, exato; fixo
 某一；必然的；确信；无疑的；有把握的"
 car crash, condition in which the computer becomes stuck during an operation and must be restarted (Computers) 撞碎；坠毁；破产；轰隆声；睡觉
"circuit
[cir·cuit || 'sɜːkɪt]
n. control circuit"," circuito; trajeto; percurso
v. circundar
 [电子] 电路，回路；巡回；一圈；环道"
"circular
[cir·cu·lar || 'sɜːkjʊlə]
n. circular arc"," carta-circular; circular
adj. circular; redondo
 循环的；圆形的；间接的"
"circular
adj. circular arc"," circle, circulate, surround, course
n. circular, paper or leaflet intended for public distribution, show card
v. circle, circulate, surround, course
 循环的；圆形的；间接的"
"circulation
[cir·cu·la·tion || ‚sɜːkjʊ'leɪʃn]
n. blood circulation"," circulação, propagação, emissão; circulação sangüínea
 流通，传播；循环；发行量"
"circumstance
[cir·cum·stance || 'sɜːkəmstəns]
n. in the circumstances"," circunstância, motivo
v. botar numa situação
 环境，情况；事件；境遇"
"claim
[kleɪm]
n. claim for"," declaração; afirmação; reclamação
v. reivindicar; invocar; exigir; reclamar; alegar
 提出要求"
"claimant
['claim·ant || 'kleɪmənt]
n. "," requerente
 原告；[贸易] 索赔人；提出要求者"
 at the bar, lanchonete 条，棒；酒吧；障碍；法庭
 base on, fundamento 基础；底部；垒
 let loose, free 宽松的；散漫的；不牢固的；不精确的
 raw material, físico 重要的；物质的，实质性的；肉体的
 euro disney, moeda introduzida em 1999 como unidade monetária dos países membros da União Européia 欧洲（European）
 water influx, inward flow 流入；汇集；河流的汇集处
"follower
[fol·low·er || 'fɑləʊə(r) /'fɒl-]
n. roller follower"," seguidor, crente, fiel; torcedor, fã; aluno, estudioso; que atua segundo-, que segue os ensinamentos de-
 追随者；信徒；属下"
 crime rate, delito 罪行，犯罪；罪恶；犯罪活动
"fracture
[frac·ture || 'fræktʃə(r)]
n. fracture toughness"," fratura (nos ossos, etc); rompimento; quebradura
v. fraturar (ossos, etc); quebrar; arrebentar
 破裂，断裂；[外科] 骨折"
"framework
n. basic framework"," armação, moldura, caixilharia; esqueleto, suporte; estrutura; sistema
 框架，骨架；结构，构架"
"fulfill
[ful·fill || fʊl'fɪl]
v. fulfill oneself"," realizar; representar; fazer; executar; completar; cumprir; fornecer
 履行；实现；满足；使结束（等于fulfil）"
"function
[func·tion || 'fʌŋkʃn]
n. and function"," função; papel; uso; festividade
v. funcionar; agir
 功能；[数] 函数；职责；盛大的集会"
"fund
[fʌnd]
n. provident fund"," fundo, fundação; propriedade, bens; caixa (registradora); tesouro
v. empregar capital; capitalizar; consolidar dívidas; financiar
 基金；资金；存款"
 spring festival, feira 节日；庆祝，纪念活动；欢乐
 profit from, earnings; benefit; advantage 利润；利益
 manual operation, guia 手工的；体力的
 extremely cruel, severo 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
 manual operation, guia 手工的；体力的
"hire
['haɪə(r)]
n. for hire"," aluguel; salário
v. alugar, arrendar, locar; requerer os serviços de-, contratar os serviços de-
 雇用，租用；租金，工钱"
"histogram
n. histogram equalization"," histograma (tipo de gráfico estatístico)
 [统计] 直方图；柱状图"
"history
[his·to·ry || 'hɪstərɪ]
n. in the history"," história
 历史，历史学；历史记录；来历"
"hit
[hɪt]
n. hit the ball"," golpe, pancada; colisão; bom êxito
v. bater, golpear; atingir, alcançar, chegar a; encontrar; acionar; pressionar
 打击；袭击；碰撞；偶然发现；伤…的感情"
"hold
[həʊld]
n. hold on"," posse; custódia; influência
v. segurar; conter, incluir; guardar; reter; manter, apoiar; crer, acreditar; organizar, ordenar, arrumar; possuir, ter a posse de, controlar
 持有；拥有；保存；拘留；约束或控制"
 vat invoice, value added tax 增值税（Value Added Tax）
"include
[in·clude || ɪn'kluːd]
v. include in"," incluir; englobar
 包含，包括"
"including
[in'clud·ing || ɪn'kluːdɪŋ]
adv. include in"," inclusive, incluindo-, englobando
 包含，包括"
"inclusive
[in'clu·sive || ɪn'kluːsɪv]
adj. inclusive of"," inclusivo, incluido; tudo incluido
 包括的，包含的"
"income
[in·come || 'ɪŋkʌm ,-kəm]
n. income tax"," rendimento
 收入，收益；所得"
"inconsiderate
[in·con·sid·er·ate || ‚ɪnkən'sɪdərət]
adj. "," inconsiderado; imprudente
 轻率的；不顾别人的；无谋得"
"incorrect
[in·cor·rect || ‚ɪnkə'rekt]
adj. politically incorrect"," incorreto, errado; inexato; inadequado; desagradável; impróprio
 错误的，不正确的；不适当的；不真实的"
"increase
[in·crease || ɪn'krɪːs]
n. increase in"," aumento, crescimento; adição, anexação; subida; multiplicação
v. aumentar, adicionar, elevar
 增加，增长；提高"
"increment
[in·cre·ment || 'ɪnkrɪmənt]
n. temperature increment"," aumento; incremento; crescimento; acréscimo
 [数] 增量；增加；增额；盈余"
"incur
[in·cur || ɪn'kɜr /-'kɜː]
v. "," causar a si próprio-; fazer cair sobre a si próprio; entrar em-; afundar (em dívidas)
 招致，引发；蒙受"
"indeed
[in·deed || ɪn'dɪːd]
adv. "," realmente, de fato, verdadeiramente, sem dúvida
interj. realmente! deveras!
 的确；实在；真正地；甚至"
"indemnification
[in·dem·ni·fi·ca·tion || ɪn‚demnɪfɪ'keɪʃn]
n. "," indenização; pagamento de indenização; declive; indenizações
 赔偿；保护；赦免；补偿金"
"indemnity
[in·dem·ni·ty || ɪn'demnətɪ]
n. claim indemnity"," indenização, compensação
 补偿，赔偿；保障；赔偿物"
"independent
[,in·de'pend·ent || ‚ɪndɪ'pendənt]
n. independent of"," independente (pessoa ou coisa)
adj. independente; que não depende; que se sustenta, que existe por si mesmo; livre
 独立的；单独的；无党派的；不受约束的"
"index
[in·dex· || 'ɪndeks]
n. index system"," índex; indicador; índice alfabético; indício
v. desenvolver, preparar o desenvolvimento (do livro); preparar de acordo com a ordem do alfabeto
 指标；指数；索引；指针"
 on a regular basis, em ordem; engrenado 定期的；有规律的；合格的；整齐的；普通的
"jargon
[jar·gon || 'dʒɑrgən /'dʒɑː-]
n. "," linguagem profissional; dialeto; jargão
 行话，术语；黄锆石"
 bond market, certificate of debt 债券；结合；约定；粘合剂；纽带
 trivial matters, sem imaginação 不重要的，琐碎的；琐细的
"mobile
[mo·bile || 'məʊbaɪl]
n. mobile phone"," coisa que se pode mover (brinquedo)
adj. móvel; variável
 可移动的；机动的；易变的；非固定的"
"model
[mod·el || 'mɑdl /'mɒdl]
n. mathematical model"," modelo, maquete; modelo fotográfico, pessoa que posa; modelagem; exemplo
v. servir de modelo; modelar, dar forma; amoldar
adj. modelo, exemplar
 模型；典型；模范；模特儿；样式"
"moderate
[mod·er·ate || 'mɑdrət /'mɒd-]
n. moderate price"," pessoa moderada, pessoa que não é extremista
v. moderar; reduzir; facilitar; diminuir; abaixar; reprimir; acalmar
adj. moderador, módico; regular; calmo, suave; sóbrio
 稳健的，温和的；适度的，中等的；有节制的"
"modern
[mod·ern || 'mɑdərn /'mɒdn]
n. modern society"," moderno, novo
adj. moderno, novo, recente
 现代的，近代的；时髦的"
"modify
[mod·i·fy || 'mɑdɪfaɪ /'mɒ-]
v. "," modificar, mudar; alterar; limitar
 修改，修饰；更改"
"mogul
[mo·gul || 'məʊgl]
n. "," pessoa influente
 有权势的人；显要人物"
"mostly
[most·ly || 'məʊstlɪ]
adv. "," na maioria das vezes; principalmente; geralmente
 主要地；通常；多半地"
"motivate
[mo·ti·vate || 'məʊtɪveɪt]
v. "," motivar, estimular; mover, movimentar; causar
 刺激；使有动机；激发…的积极性"
"motivated
['məʊtɪveɪtɪd]
adj. highly motivated"," motivado, estimulado, entusiasmado
 有动机的；有积极性的"
"motive
[mo·tive || 'məʊtɪv]
n. motive force"," motivo, causa
adj. motivador, aquele que impulsiona, causador
 动机，目的；主题"
"motor
[mo·tor || 'məʊtə(r)]
n. motor vehicle"," motor; carro
v. viajar, dirigir automóvel
adj. motorizado; impedimento; de movimento
 发动机，马达；汽车"
"nil
[nɪl]
n. "," zero; nada
 无，零"
"nimble
[nim·ble || 'nɪmbl]
adj. "," ágil; ligeiro; hábil; esperto, inteligente, sagaz
 敏捷的；聪明的；敏感的"
"nod
[nɑd /nɒd]
n. get the nod"," sinal, aceno, saudação (feita com a cabeça)
v. indicar com a cabeça; cabecear; acenar; cochilar
 点头；打盹；摆动"
"nuclear
adj. nuclear power"," nuclear, relativo ao núcleonu·cle·ar || 'nuː;klɪ;ə;r ,kjə;lə;er /'njuː;klɪ;ə;
 原子能的；[细胞] 细胞核的；中心的；原子核的"
"nuclear
adj. nuclear power"," , nuclear, of or pertaining to a nucleus; utilizing the atomic nucleus; pertaining to atomic weapons; powered by atomic energy
v. nucleate, create a nucleus
 原子能的；[细胞] 细胞核的；中心的；原子核的"
"nucleus
[nu·cle·us || 'nuːklɪəs /'nju-]
n. cell nucleus"," núcleo
 核，核心；原子核"
"objective
[ob·jec·tive || əb'dʒektɪv]
n. objective function"," objetivo; destino; objeto (em gramática-aquele sobre o qual recai a ação)
adj. objetivo; que não foi subornado; externo; relativo ao objeto (em gramática)
 客观的；目标的；宾格的"
"obligate
[ob·li·gate || 'ɑblɪgeɪt/ ɒblɪgeɪt]
v. "," obrigar; forçar; coagir
 使负义务；强使，强迫；对…施以恩惠"
"obligation
[ob·li·ga·tion || ‚ɑblɪ'geɪʃn /‚ɒb-]
n. no obligation"," obrigação; comprometimento
 义务；职责；债务"
"oblige
[o·blige || ə'blaɪdʒ]
v. "," obrigar; fazer um favor
 迫使；强制；赐，施恩惠；责成；义务"
"obscure
[ob·scure || əb'skjʊr /əb'skjʊə]
v. obscure glass"," obscurecer; escurecer
adj. obscuro; nebuloso; secreto; não claro
 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的"
"observation
[ob·ser·va·tion || ‚ɑbzər'veɪʃn /‚ɒbzə-]
n. field observation"," observação, exame; reflexão; advertência; meditação
 观察；监视；观察报告"
"observe
[ob·serve || əb'zɜrv /-zɜːv]
v. observe on"," observar; notar; guardar; cumprir (preceitos); cuidar dos detalhes, ser detalhista; fazer uma observação ou uma colocação
 庆祝"
"onus
[o·nus || 'əʊnəs]
n. onus probandi"," ônus; peso; carga
 责任，义务；负担"
"orientation
[o·ri·en·ta·tion || ‚ɔːrɪen'teɪʃn]
n. market orientation"," orientação, conselho; rumo, ramo, área; (informática) sentido da impressão, o sentido no qual é possível ler um texto ou ver uma foto; orientalização
 方向；定向；适应；情况介绍；向东方"
"original
[o·rig·i·nal || ə'rɪdʒənl]
n. original design"," original, genuíno; legítimo
adj. original, primeiro, primário; inovativo, criativo; novo
 原件；原作；原物；原型"
"originally
[o'rig·i·nal·ly || ə'rɪdʒnəlɪ]
adv. "," originariamente; originalmente; na origem, na base, no fundo
 最初，起初；本来"
"plethora
[pleth·o·ra || 'pleθərə]
n. "," pletora (doença, superabundância de glóbulos sangüíneos)
 过多；过剩；[医] 多血症"
"plug
[plʌg]
n. pull the plug"," rolha, tampa; válvula; tomada; pino de tomada, plugue; hidrante;dispositivo ligado à saída do computador e que com a sua ajuda o programa certifica-se de que ele não é uma cópia pirata; obstrução, bloque; massa grumosa que obstrue uma abertura (Medicina); hidrante; propaganda; tampão (Gíria); relação sexual (Gíria)
v. tampar, arrolhar; obturar; plugar; fazer propaganda de; socar (Gíria); atirar em alguém (Gíria Americana)
 插头；塞子；栓"
"plunge
[plʌndʒ]
n. plunge into"," mergulho
v. mergulhar; arrojar; precipitar; abismar; enterrar
 投入；跳进"
"plus
[plʌs]
n. plus one"," sinal de adição (+); vantagem; mais
adj. positivo (Matemática, Eletricidade); e mais
adv. (Gíria) e tem mais, e mais um pouco
prep. e mais
 正号，加号；好处；附加额"
 in flood, inundation 淹没；充满；溢出
 monthly salary, pay 给加薪；给薪水
"relocate
v. "," mudar de apartamento; mudar para outro lugar; mudar de endereçore·lo·cate || ‚rɪ;ː;'lə;ʊ;keɪ;t /‚rɪ;ː;lə;ʊ;'keɪ;t
 重新安置；迁移"
"reluctant
[re'luc·tant || rɪ'lʌktənt]
adj. reluctant to help"," relutante; que não quer; que não se anima
 不情愿的；勉强的；顽抗的"
"remain
[re·main || rɪ'meɪn]
v. remain invincible"," ficar
 保持；依然；留下；剩余；逗留；残存"
"remainder
[re'main·der || rɪ'meɪndə(r)]
n. for the remainder of"," resíduo, resto, sobra, o restante
v. deixar, largar
 [数] 余数，残余；剩余物；其余的人"
"remedy
[rem·e·dy || 'remɪdɪ]
n. remedy for"," remédio, medicamento; cura; cuidados especiais
v. curar; consertar
 补救；治疗；纠正"
"remission
[re'mis·sion || rɪ'mɪʃn]
n. "," remissão; moderação; perdão; descanso
 缓解；宽恕；豁免"
"remit
[re·mit || rɪ'mɪt]
n. remit money"," perdão; liberação, dispensa; remessa
v. ceder; perdoar; remitir; dispensar; diminuir
 宽恕；免除；减轻；传送；使恢复原状"
"remunerate
[re·mu·ner·ate || rɪ'mjuːnəreɪt]
v. "," remunerar, recompensar
 酬劳；给与报酬；赔偿"
"remuneration
[re·mu·ner·a·tion || rɪ‚mjuːnə'reɪʃn]
n. remuneration package"," remuneração, recompensa
 报酬；酬劳，赔偿"
"remunerative
[re'mu·ner·a·tive || rɪ'mjuːnəreɪtɪv /-rətɪv]
adj. "," remunerativo, lucrativo
 有利可图的；有报酬的；合算的"
"render
v. account rendered"," render, yield; command; pay, relieve
 致使；提出；实施；着色；以…回报"
"render
v. account rendered"," render, yield; command; pay, relieve
 致使；提出；实施；着色；以…回报"
"render
[ren·der || 'rendə(r)]
v. account rendered"," fazer; inverter; servir, passar; (informática) desenhar, criar de forma automática uma imagem conforme o modelo tridimensional que se encontra no computador
 致使；提出；实施；着色；以…回报"
"renew
[re·new || rɪ'nuː /-'nju-]
v. "," renovar, renovar-se; reiniciar, retomar; reviver
 使更新；续借；续费；复兴；重申"
"renovate
[ren·o·vate || 'renəʊveɪt]
v. "," renovar, reformar
 更新；修复；革新；刷新"
"rent
[rent]
n. for rent"," aluguel, arrendamento; rasgão
v. alugar, arrendar
 租金"
 inferior quality, de pouco valor; prender 差的；自卑的；下级的，下等的
"secondary
[sec·ond·ar·y || 'sekəndərɪ /drɪ]
n. secondary school"," secundário; auxiliar, ajudante, vice; círculo secundário, bobina secundário (na eletricidade)
adj. secundário; relativo a segundo (unidade de tempo); relativo ao segundo grau; lateral, sem importância, de segundo plano
 第二的；中等的；次要的；中级的"
"secretary
[sec·re·tar·y || 'sekrətərɪ /-trə]
n. secretary of state"," secretário, secretária, ministro; mesa de escritório, escrivaninha
 秘书；书记；部长；大臣"
"section
[sec·tion || 'sekʃn]
n. cross section"," seção, parte, divisão; corte; região; parágrafo, artigo; departamento
v. dividir em partes, cortar
 截面；部分；部门；地区；章节"
"sector
[sec·tor || 'sektə(r)]
n. private sector"," setor, área
 部门；扇形，扇区；象限仪；函数尺"
"secure
[se·cure || sɪ'kjʊr /-'kjʊə]
v. secure communication"," assegurar; conseguir, obter, adquirir; defender; dar segurança; fortalecer; fechar, trancar
adj. seguro; protegido; sólido, forte, equilibrado; fechado, trancado; tranquilo, seguro de si mesmo ; certamente, seguramente
 安全的；无虑的；有把握的；稳当的"
"securities
n. securities market"," (Finanças) termo genérico para ações e obrigações
 [金融] 有价证券；担保；抵押物（security的复数）；保证人"
"security
[se·cu·ri·ty || sɪ'kjʊrətɪ /-kjʊər-]
n. social security"," confiança; segurança; proteção; promessa; fiança; documento de valor, garantia; tranquilidade
adj. de segurança
 安全；保证；证券；抵押品"
"seduce
[se·duce || sɪ'duːs /-'djuːs]
v. "," seduzir, desviar; convencer a abraçar uma causa, incitar
 引诱；诱惑；诱奸；怂恿"
"segment
[seg·ment || 'segmənt]
n. market segment"," segmento; parte, pedaço; capítulo; fatia
v. dividir (em pedaços, em partes etc); repartir (em pedaços, em partes)
 分割"
